encountered_week,residence_census_tract,pathogen,modeled_intensity_mean,modeled_intensity_sd,modeled_intensity_lower_95_CI,modeled_intensity_median,modeled_intensity_upper_95_CI,modeled_intensity_mode
2019-W02,53033000100,h3n2,5.98073785950148e-05,0.00033841644824053,2.64775033060499e-07,1.04082994346175e-05,0.000407932668401787,1.04089054721195e-05
2019-W03,53033000100,h3n2,0.000111640332644106,0.000478476670312924,8.63770818402878e-07,2.53670796965644e-05,0.000742939073876721,2.53684075006437e-05
2019-W04,53033000100,h3n2,0.000214813606710469,0.000719608710490639,2.75075522972973e-06,6.1445645827514e-05,0.00136911152270032,6.14485455173359e-05
2019-W05,53033000100,h3n2,0.000421602467304391,0.00113249126752618,8.51537450395409e-06,0.000147091460073782,0.00253496024548084,0.000147097727183256
2019-W06,53033000100,h3n2,0.000831603837159544,0.00182887522115511,2.53708287054017e-05,0.000344221970410961,0.00466045292654605,0.000344235212324277
2019-W07,53033000100,h3n2,0.00160100760803405,0.00293372568047236,7.08405571299597e-05,0.000766938879179117,0.00828714508644283,0.000766965523635686
2019-W08,53033000100,h3n2,0.00292683457692058,0.00454073001567812,0.000180383467523481,0.00158569463914673,0.0139149368653096,0.0015857444484229
2019-W09,53033000100,h3n2,0.00491938383580531,0.0065677669867159,0.000404721427243291,0.0029491582918254,0.0214558062172882,0.0029492423592938
2019-W10,53033000100,h3n2,0.00722194278947076,0.00845424676294656,0.000757049643705112,0.00469077759979657,0.0290219827670121,0.00469090001826321
2019-W11,53033000100,h3n2,0.00896569338929985,0.00942120265167026,0.0011366169894186,0.00618074909087054,0.0335641388579314,0.0061808988854669
2019-W12,53033000100,h3n2,0.00949745644569121,0.00923221889746289,0.00137315763583737,0.00681013664961023,0.0337311269432719,0.00681029294874877
2019-W13,53033000100,h3n2,0.00894748063266808,0.00834978390053367,0.00138306837330972,0.00654153973689305,0.0309009955669173,0.00654168558337066
2019-W14,53033000100,h3n2,0.00807270758368109,0.00753923130110088,0.00124629787719512,0.00589988018144254,0.0278946147121119,0.00590001181574937
2019-W15,53033000100,h3n2,0.00685877868421056,0.00668089075929222,0.000988297748127509,0.00491318407665645,0.0243936593519095,0.00491329721047146
2019-W16,53033000100,h3n2,0.00561435569628933,0.00591499663235961,0.000708569645773219,0.00386511421576892,0.0210546624335678,0.00386520847084577
2019-W17,53033000100,h3n2,0.00462133350302739,0.0054217624947085,0.000482528241782083,0.00299783032896332,0.0185973892890752,0.00299790903951898
2019-W18,53033000100,h3n2,0.00380466298074981,0.00508331878975268,0.000312572657468476,0.00227979540436796,0.0166014221612224,0.00227986044086626
2019-W19,53033000100,h3n2,0.00310940439643044,0.00481553165945592,0.000192293965375171,0.00168669115102714,0.0147688106288812,0.00168674364414832
2019-W20,53033000100,h3n2,0.00246962472060848,0.00450074722717698,0.000110485296718284,0.00118802083624366,0.0127500655922391,0.00118806126173499
2019-W21,53033000100,h3n2,0.00191308555952974,0.00416161798472885,5.96875203779134e-05,0.000799055239090239,0.0106748578594119,0.000799084970298167
2019-W22,53033000100,h3n2,0.00145796410181179,0.00384177566369316,3.06405071084087e-05,0.000517302313601327,0.00871371960537852,0.000517323329445842
2019-W23,53033000100,h3n2,0.00111062265145759,0.00360235504061881,1.51989022096618e-05,0.000327211999700435,0.00702702737919013,0.000327226472043942
2019-W24,53033000100,h3n2,0.000847389199405898,0.00344512050643386,7.29905350680456e-06,0.000202397921282209,0.005597345708726,0.000202407639724223
2019-W25,53033000100,h3n2,0.00064714965552499,0.00336680585165901,3.38765013800178e-06,0.000122155549126438,0.0043920991045023,0.000122161902560657
2019-W26,53033000100,h3n2,0.000497530888004301,0.00339190521221414,1.52516021059768e-06,7.22061011450579e-05,0.00340785264195455,7.22101611955962e-05
2019-W27,53033000100,h3n2,0.00038897858076147,0.00357108252707924,6.70845784228228e-07,4.21201874832709e-05,0.00263576640502224,4.21227432823931e-05
2019-W28,53033000100,h3n2,0.000311315741695723,0.0039708032089058,2.89076111916906e-07,2.43328587198489e-05,0.0020408902631169,2.43344499581488e-05
2019-W29,53033000100,h3n2,0.000256200017953546,0.00470444835233566,1.22003518098745e-07,1.3931778015699e-05,0.00158481475250775,1.39327592554636e-05
2019-W30,53033000100,h3n2,0.000218554760702468,0.00601527674928893,5.05671919680034e-08,7.93557609179038e-06,0.00124026133236964,7.93617788372134e-06
2019-W31,53033000100,h3n2,0.000194653838481445,0.00840308936818136,2.0610418721577e-08,4.50786055102268e-06,0.000981660561544685,4.5082286239236e-06
2019-W32,53033000100,h3n2,0.000182199113233638,0.0129780528555554,8.26538770582692e-09,2.55764453255337e-06,0.000787772460408026,2.55786941667153e-06
2019-W33,53033000100,h3n2,0.000180320821614633,0.0224142074304168,3.261694465027e-09,1.45062218413617e-06,0.000641977043381942,1.45075955030148e-06
2019-W02,53033000200,h3n2,0.00104131004930025,0.00182742201936049,5.02582840778197e-05,0.000515540136710961,0.00527824594684137,0.000515561432598838
2019-W03,53033000200,h3n2,0.00169349141420818,0.00250805032891979,0.000114260536515926,0.000947676768044525,0.00784649111485387,0.000947710357167855
2019-W04,53033000200,h3n2,0.00280828196388625,0.00358637209570164,0.00025105869444427,0.00173136223029084,0.0119211943421467,0.00173141552180222
2019-W05,53033000200,h3n2,0.00469861198693135,0.00527252383783303,0.000531164617038057,0.00312601706194725,0.0183709013077053,0.00312610181469817
2019-W06,53033000200,h3n2,0.00781493414261123,0.00783871641555054,0.00107228682252163,0.00551759103021944,0.028353943525704,0.00551772488427493
2019-W07,53033000200,h3n2,0.0125483277503612,0.0114426119655484,0.00201319361533893,0.00927211209906095,0.0426517544413499,0.00927231732824026
2019-W08,53033000200,h3n2,0.0189243024098456,0.0159792694652261,0.0034245298419184,0.0144592049237669,0.0609794911946838,0.0144595033326758
2019-W09,53033000200,h3n2,0.0259568767331369,0.0207288239864528,0.0051080427413559,0.0202828883767062,0.0804493620228452,0.0202832877600117
2019-W10,53033000200,h3n2,0.0307689159296507,0.0238143067528443,0.00633879180945069,0.02433231004304,0.0933016944403084,0.0243327778744119
2019-W11,53033000200,h3n2,0.0305297549186705,0.023528660651635,0.00632842423008355,0.0241816741180615,0.0923013484839127,0.0241821379720701
2019-W12,53033000200,h3n2,0.0255977176655514,0.0201963811225849,0.005127811377352,0.0200959194317735,0.0786693793580423,0.0200963127697684
2019-W13,53033000200,h3n2,0.018911831387715,0.0156784448474844,0.00351915047626357,0.0145592489530381,0.0601648682927168,0.0145595468586612
2019-W14,53033000200,h3n2,0.0132634981353091,0.0118148249346981,0.00220862570632593,0.00990396901203043,0.0443578861129257,0.00990418462573915
2019-W15,53033000200,h3n2,0.00868556097797923,0.00846340432055085,0.00125075978618165,0.00622065885602412,0.0308984435811355,0.00622080516509683
2019-W16,53033000200,h3n2,0.00543453157268032,0.00587305137450695,0.000656324432099464,0.00369099205743903,0.0207282093156021,0.00369108674076799
2019-W17,53033000200,h3n2,0.00339149166306356,0.0041079389281225,0.000334214142999218,0.00215921244906778,0.01392871438044,0.00215927276792669
2019-W18,53033000200,h3n2,0.00209975879664022,0.00287479322414364,0.00016471926336246,0.00123848813975717,0.00929674627063108,0.00123852569858278
2019-W19,53033000200,h3n2,0.00128004010241062,0.00199562652895353,7.81356110776657e-05,0.000691097434921874,0.00610188572649261,0.000691120128448296
2019-W20,53033000200,h3n2,0.00075216789821565,0.00134492745454793,3.49651168763959e-05,0.000367143293859073,0.00384777930355701,0.00036715637372624
2019-W21,53033000200,h3n2,0.000427538455289286,0.000883398332026122,1.48215773476144e-05,0.000186249984982651,0.0023356530359359,0.00018625719367042
2019-W22,53033000200,h3n2,0.000237104592516512,0.000570890439754937,6.0029711966234e-06,9.09435321842302e-05,0.00137474175266672,9.09473558654327e-05
2019-W23,53033000200,h3n2,0.000130343022813064,0.000369240929645587,2.35869363240496e-06,4.33874977594553e-05,0.000796218587628356,4.33894742415656e-05
2019-W24,53033000200,h3n2,7.11696461184061e-05,0.000239896150382816,8.99789828142926e-07,2.02418146612838e-05,0.000454214143173225,2.02428119384506e-05
2019-W25,53033000200,h3n2,3.85711540333619e-05,0.000156783540007904,3.32362495047414e-07,9.21434869515194e-06,0.000254768283468735,9.21483950190703e-06
2019-W26,53033000200,h3n2,2.08678335874882e-05,0.000103929461637702,1.19222252962154e-07,4.10802818011244e-06,0.000141143064606414,4.10826472975396e-06
2019-W27,53033000200,h3n2,1.13851141067073e-05,7.08066582845698e-05,4.18017408585274e-08,1.80741513036932e-06,7.79093873357813e-05,1.80752759669509e-06
2019-W28,53033000200,h3n2,6.30559420108182e-06,5.00921038000296e-05,1.4356875135332e-08,7.87533206579265e-07,4.30586339080218e-05,7.87586168384929e-07
2019-W29,53033000200,h3n2,3.56107503119196e-06,3.7117800539586e-05,4.82629993857329e-09,3.40087317642301e-07,2.38813138654996e-05,3.40112060727744e-07
2019-W30,53033000200,h3n2,2.0673217125707e-06,2.91781841281741e-05,1.59155782847773e-09,1.4610683376913e-07,1.33633099018549e-05,1.46118347604772e-07
2019-W31,53033000200,h3n2,1.24259582307374e-06,2.4634129595294e-05,5.1534656418602e-10,6.25994834173081e-08,7.57417250600229e-06,6.26048336733992e-08
2019-W32,53033000200,h3n2,7.78411425120608e-07,2.26054092572611e-05,1.63888259726202e-10,2.67885186769964e-08,4.36047407695861e-06,2.67910048983178e-08
2019-W33,53033000200,h3n2,5.11309943836894e-07,2.28080563987993e-05,5.11821802352477e-11,1.14596432127914e-08,2.55441619053929e-06,1.14607991699581e-08
2019-W02,53033000300,h3n2,Inf,Inf,3.99058951595331e-60,1.18441377574391e-08,3.19505938349947e+43,1.18643618644206e-08
2019-W03,53033000300,h3n2,Inf,Inf,2.49362025975067e-56,3.11494262703215e-08,3.55877875893597e+40,3.11991060750285e-08
2019-W04,53033000300,h3n2,Inf,Inf,1.39542076949111e-52,8.14190386013702e-08,4.37183274387497e+37,8.15398485386166e-08
